vintage_id,wine_id
1382057,1246032
147610206,1181029
2419191,1100884
21613908,2148615
19520209,2324457
11972539,20648
146501890,2145576
27548742,1417313
18232473,1220596
2000217,1134664
49110916,1172154
1288438,1204482
147170168,4901318
14645544,99336
18579334,1240835
14287173,1453
15188008,1218213
149652914,1281721
97710698,12266
27332210,1164612
1990131,1300273
1317307,1151212
10710465,2568653
1508115,3068
141950095,3890745
134934341,1163612
142049782,4388933
14558754,1594134
4548027,1195642
4607923,1690693
14224421,1171489
28791303,1697832
29559843,22690
152186571,5360394
1429099,1137135
2367371,1594396
152246636,1295860
34347971,2533370
2817114,1657702
18002437,2152899
3715106,1163892
14172931,1130038
157856051,6555872
34025049,1832244
15340835,1224156
142598958,3994983
4456253,1159416
3237351,1886855
14380132,2136710
23893678,1144511
146110219,4215343
156797177,5915719
29006334,9284
9670454,78326
14338470,1199681
152975487,1240470
15506996,1184871
152460506,5231750
31146404,2038623
19957607,74354
14462674,93869
150815019,1504625
15426147,1377280
22973001,1744679
3427706,1941037
60666111,1238760
14594945,13876
2338620,1136245
14264987,2389449
15047208,1440346
150854022,1143976
28528019,1249905
2343804,1492894
7275487,2526968
5596431,1456451
20333253,2004
151237220,5265809
145909757,1241290
21426054,2307071
147797706,1783387
158138466,2918624
115662356,1205870
4988903,1989191
52503905,3678723
47248433,1742996
156132572,1221243
14533212,1145049
146969340,1200958
15250422,3964
156135252,10107
1469343,81681
24230539,3356015
1697427,1165736
1538537,1262560
22828345,1175604
112136189,69784
4114101,1378224
3964240,1151531
39405042,1406536
9835054,2642532
15773753,8601
19370768,1220178
1387991,1198161
148784449,4906776
142124211,1182585
1370113,10924
143635891,1105378
5066921,1209043
117824400,1983514
2933241,1193781
2297256,63804
145539894,3112941
14807664,1455634
145580859,1126932
3146319,1192074
5502269,2248179
1499091,1274818
36520579,3767444
22047665,1994
157587420,6475728
19478059,1133434
156506405,6181793
2097603,1255547
59162108,82777
17744422,1170955
11121058,2384571
17706785,1201581
15074635,1166594
155107093,5835041
14486696,1130007
151323829,16152
94909366,1246199
155392575,2289264
2477770,1991
141965800,1410426
141581203,1615222
66298774,100144
1213807,1164354
1663869,1160525
1756541,1370772
14194998,2795015
46889134,1260997
157773383,6330797
1244940,1176701
2140856,1190733
156196324,6105738
14327878,2612292
17672308,1408851
1498098,1142378
4223738,1737129
2339840,1316284
3809872,1150223
1355128,1205678
14982794,7563
35869600,23678
14470538,13332
164942787,1205348
19440871,1176063
1818132,1182124
158699788,6541046
87207069,10086
152773384,5346278
27617253,2632150
14435384,1135979
3225900,1876767
1178942,92493
1422186,1144183
10272867,2711216
19666022,2243261
15329726,1578347
89807003,1183854
4335311,2163664
15415597,7011
34470446,98536
155376397,5903074
16466022,1219160
15299377,1155208
19358798,1239186
19961313,1841776
18823107,80606
145874214,4711820
3072904,1257618
46717077,1242880
48807248,1929688
15544149,1766217
60684790,1107102
19855691,1842098
5054201,1841445
1776789,1159231
148651162,2660428
4343329,1172486
143034597,1161247
84070151,1736253
145418317,1999623
2339843,1403295
22731510,9371
143466845,4483801
9242011,1226627
27294987,1155874
135122334,1262058
14329309,16731
27251258,1278767
16064035,1677583
35259260,1187063
1260109,1146363
143492829,2134625
1387528,1167555
2927912,1264620
2495965,1129852
4295199,1379623
32350037,1228688
14500819,21006
14715134,10986
14432963,1163304
17981605,10989
16183336,1135162
17698645,69154
13090950,1182290
22544373,71024
5071657,2991
127530708,1175487
18206859,3162215
14973515,1372902
48631816,7906
15503068,2656
4191165,4724
156848268,6266660
18127453,23293
1204862,1158381
21862885,2012217
5111613,8534
19179211,1401324
110369271,1210624
151042170,1199328
164942704,1215113
1382923,1191268
16631456,1136168
93833370,1098981
22913474,1107322
18854296,1603756
15409535,12846
27203125,1283249
19067690,1170977
25555489,1539956
141781730,15700
3152981,6980
20543421,1285369
14786908,70974
24740437,13744
16148200,6235
15392416,6242
33435714,2918990
20995605,1159195
5382868,1150235
19161493,2400515
5985268,4420
28590813,1171908
1223354,82019
98955208,7348
23839685,1469
20220259,1130293
76086794,16611
16022550,38484
15377984,1124245
24049634,21005
150980377,5054959
9398345,1163413
14416533,80405
3043577,1815722
1498122,86838
18885855,2302584
7255852,18441
15511459,1316705
151642726,3385833
74176289,3343395
28733684,2431903
11897930,1166529
164942779,5609526
148045702,1300391
16546024,1174530
4415620,77113
50794002,1367830
14279840,15098
5653097,7882
6729954,1873325
14443221,1379021
6940426,1949932
96648139,76609
19872858,11746
14159333,6985
2736094,1699723
2552711,91683
1470000,99233
141642014,1483314
5711603,1421944
158968968,6818813
141927125,4254851
18843033,21454
152733041,5445838
152112856,5341027
30448490,77120
44551088,1133768
1756412,87577
25662828,78653
14668183,6301
1243008,1143498
14566910,1468317
17385687,1211850
1468295,75978
32328744,71044
15547223,60354
58713207,1166000
15480987,4412
18034480,1123964
14177036,79707
22961045,21003
152607520,5442624
15349076,1252649
55247541,2355320
22269790,54224
15177018,1417042
141151252,1263757
14867193,1162590
33155940,1137292
4598649,1135959
151185991,69084
29480212,15088
26764664,1138269
18104211,4723
20585871,1105335
102084333,1279370
8342371,2251127
146387572,1619647
19206362,1144240
141276570,1108705
1554136,1157248
141125433,1130435
19977217,1294819
33671126,1751166
18427782,1142085
1998717,1127030
15004030,2112379
15483017,2060090
15292100,1135602
151284594,1292093
1362415,1220273
1375213,82472
1309823,31714
16831241,28214
20083762,1253168
29180885,1261315
4875076,9621
1732537,80403
16937024,1250126
15044526,1155280
1691233,1161643
20574899,96045
30275389,2710137
151961390,4683746
73291558,1665120
21394636,1837975
154166189,5624146
77664257,3636222
2729400,1099102
4673247,71094
18382597,21978
4089356,23271
5307624,2364090
35515713,1183417
16275160,1175180
143765852,1173991
21269891,1137707
154733190,4827892
14550643,6336
14614594,1133742
7213676,20996
29846718,3195085
4693434,90577
160088248,15699
15212122,2929415
63259468,82690
145163329,4648221
15426880,1172591
1601657,6206
3539937,1323253
17234276,1944256
110143066,1488357
18533181,1204355
30386429,1183464
3997811,1593760
75744393,3335810
14228032,1145998
107164106,1670585
1679313,1153680
14150300,1198159
25436500,3495339
141109888,1105618
141257845,4303234
156299956,5981087
17748112,1152381
27292333,1181510
3718273,2031483
15452841,2629
14370800,1730323
22516159,1620784
17849743,6217
22408763,1211704
18601391,1223208
14756853,1143733
26498624,92448
1166743,1138272
18332355,94860
14462758,15095
13200218,1387031
24395670,74360
14541679,1167430
34912462,3740529
19281849,2795309
110737359,2510427
157226687,1434965
52985842,12305
133538243,1128288
3944291,1384430
14145463,6625
1484153,4163
23564304,1694049
15904934,1687032
2451130,71264
98903354,73282
7169914,2342539
17162208,1497905
17954663,1157150
2759529,1225575
19889603,1396350
14823350,2069216
90133548,1129975
20099870,92178
2838428,24138
9895558,1487866
5501938,1157718
1760510,1175426
22631050,3108
11804984,97272
3260944,1811155
15500094,6519
32116037,1084119
18448086,1136821
150722797,1723384
1201679,11901
63790021,1169930
154572451,5423043
14639186,1578948
16166859,79377
18719795,2403510
2307172,1246882
159066805,6899177
8369041,86870
30648707,1205892
1850999,1408608
153339572,4429802
14124975,1796244
1564159,84066
151938273,5292597
156250797,2742197
15654739,1659104
20589658,1223682
14218187,1451129
143228339,3540352
43457161,3572461
135368169,4297407
15839229,4270
3670080,2016982
4159953,4123
14482107,1505629
15065025,1862920
136034612,3149733
25458762,1567916
18830595,1135375
2537628,1650762
85904231,1207424
1893221,1131351
27381076,3154127
5157797,2978
14198184,2522
1486173,1104850
24452999,82779
1502603,1286892
54157811,3891220
19127076,24232
36601952,1725833
1898367,1201715
4011364,2076733
1502657,1152442
142657756,1989135
24524746,1084701
14823175,1542932
21201823,1265129
2808147,1746756
25021528,1723073
2465316,1428416
1930578,1374626
22341716,1582632
14147299,1155538
4629622,1143570
158233548,6647201
1987096,1136764
45780179,2068895
46312072,1223932
20383145,1242065
1554466,1238419
144021987,4541141
22378677,1774600
156535578,1243879
4264179,1311112
54841163,1144718
8598814,1510292
15204167,15944
148436703,1714733
2045051,1253762
20846745,1235673
25371173,1139395
20179608,1200451
9464114,2510424
146461425,1660361
29884594,779852
152236144,75803
1487059,97412
1377255,5810
15663930,1206311
3158222,1813891
21015519,1143583
19928323,2470268
1993552,1144380
14429424,1205000
14893938,1144143
15669667,1173607
14692281,1123283
2874294,1269053
151085679,1171835
2103563,4066
1510462,1153860
28057447,1317623
14881004,63104
19945603,2541402
18203427,1678719
3142083,778879
1721907,1320738
1122150,83920
26580148,1099316
1268075,15489
14772846,86844
92241390,2403181
4939509,2310838
144429620,4587396
143938806,4537649
155213164,5813186
18068884,1757298
22196070,1215041
37969665,1300354
155166788,5861744
2957863,1798892
2006262,1214851
1441644,1172295
40428292,1503636
2832903,1756389
110857622,66204
3729607,2035173
22761288,1145741
14890266,1157863
2356327,5110
105125556,1258426
18621880,825166
60663923,1230354
8378158,2216939
17106437,7094
152463940,5291000
1343020,1132856
158544739,6555934
14703287,1162226
5553764,1136651
18574548,1160359
15498665,1753049
1570431,779952
3133224,1133704
21016803,1209338
2156910,1498830
20611462,1133526
31082441,1142668
141112275,3434661
151391547,5279448
5041807,2014042
6437536,2463387
152334361,5376033
3956933,1421910
22602526,79885
23694694,2345668
164942879,83953
31555718,7922
17919035,74310
22228293,2235110
92639418,1136413
29716847,1651251
1992560,1261866
49509267,2673196
21735178,13890
156185730,1138012
14526422,1808938
154375907,3245703
2835639,1638234
14501457,1174542
14624543,88020
142113959,2646536
2483642,1627710
14766895,1220738
23613315,1737042
14721280,1268
15701198,1603076
14387827,1250095
14395945,6953
15173926,1992
15203971,1219675
16274401,4657
14333300,1151228
142119202,1134441
14125999,2601381
2309094,4327
14141039,1108214
3032053,1241969
1642566,1175060
