vintage_id,wine_id,types
21947069,1138544,Red wine
4467150,1200575,Red wine
1344519,1168676,Red wine
14748299,2121,White wine
2654466,97275,Red wine
4670245,1686513,Red wine
2189625,1128332,Red wine
18398801,1107343,White wine
14529325,14403,Red wine
152516264,5294518,Rosé wine
14596802,1135642,Red wine
19120839,2378839,Red wine
10662790,71014,Red wine
14934861,5415,Red wine
19292630,83520,Red wine
50973460,1210266,White wine
2819744,1437851,Red wine
15671597,44004,Red wine
15166557,1133069,Red wine
14862818,1154856,Red wine
13958450,1143913,Red wine
15269117,2422,White wine
19488174,1150101,Red wine
2761818,1732398,Red wine
17021896,4169,Red wine
9471760,1984446,Red wine
2228709,1101461,Red wine
7848150,1180356,Red wine
14744784,11782,Red wine
23729939,2352740,Red wine
1393668,1874,Red wine
16028809,1163632,Red wine
116825173,1162743,White wine
18239853,3545,Red wine
16812125,1136142,Red wine
16531932,1126929,Red wine
11496364,1100149,Red wine
14489101,8040,Red wine
4527665,4120,Red wine
14519570,1136984,White wine
17470486,2497135,Red wine
17166884,86244,Red wine
20920019,87426,Red wine
15274433,77812,Red wine
1119551,1099535,Red wine
100210021,1566,White wine
2224332,1509288,Red wine
20088288,1162990,Red wine
15441657,4016,Red wine
14391340,1876,White wine
1568756,15231,Sparkling wine
150731373,1519678,Red wine
14221229,14612,Red wine
19070941,1683137,Red wine
14272216,20726,White wine
1284705,736119,Red wine
17592011,1124954,White wine
15936598,1646375,Red wine
23459879,5961,Red wine
15485682,2038572,Red wine
62907696,3936781,Red wine
15843591,1084276,Red wine
94598946,85381,Red wine
22725214,20650,Red wine
14498831,1181892,Red wine
15432628,7774,Rosé wine
14177180,18017,Red wine
14558829,1145299,Red wine
6149352,91291,Red wine
17849633,6197,Red wine
3378403,73558,Red wine
15042673,2327297,Red wine
7494204,2405247,Red wine
20760842,1451,White wine
14135142,740,White wine
19669691,1788177,Red wine
164942572,19919,Sparkling wine
30952355,3263316,Red wine
93408164,5115,White wine
2275156,1437023,Red wine
15900904,78041,Red wine
1549021,11001,Red wine
15719852,1200231,Red wine
14360546,1171074,Red wine
14206452,1742845,White wine
18092000,81659,Red wine
14193953,99328,Red wine
20745763,19225,Red wine
16675159,73392,Red wine
1271590,778823,Red wine
14708806,1639509,Red wine
15410763,86247,Red wine
17602137,1489246,Red wine
14372255,1377489,Red wine
10603275,1290538,Red wine
26005236,1179603,Red wine
21851424,51834,Red wine
14266512,76284,Red wine
14568829,16223,Red wine
20000945,1168278,Red wine
15981286,1111659,Red wine
25219678,1273775,Red wine
14226869,2120028,Red wine
16002461,1129209,Red wine
145364243,2915458,Red wine
42769888,1283503,Red wine
19662739,13795,Red wine
15863570,22722,Red wine
14814290,1126216,Red wine
14995658,1135781,White wine
52162737,12310,Red wine
8157110,2423,Red wine
156426061,1148727,Red wine
29738494,1261821,Red wine
18107201,7012,Red wine
14728199,3380,Red wine
15057635,1151644,Red wine
18920054,1110353,Red wine
14136250,1230501,White wine
14912195,12385,Red wine
18204280,1273892,White wine
18663707,1268490,Red wine
87452108,1240513,Red wine
4062403,95881,Red wine
16018819,1138207,Red wine
2445489,1584,Red wine
61532899,3916421,Red wine
15825216,1135081,Red wine
14294404,68114,Red wine
14251923,20986,Red wine
19848041,2395359,Red wine
28698069,73555,Red wine
154555758,5708092,Red wine
26926614,1138187,Red wine
1322151,80046,Red wine
14978869,1377312,Red wine
17523334,1294088,White wine
18853142,1138025,Red wine
150683264,1794159,Red wine
14474004,6307,White wine
15983357,12129,Red wine
154286688,5650215,White wine
2442473,1614113,Red wine
17571403,12123,Red wine
17491645,85369,Red wine
15376209,2850629,Red wine
151803484,3962552,Red wine
16000494,1225639,Red wine
19361930,80464,Red wine
4219725,78387,White wine
17462957,1142782,Red wine
104766119,1863974,Red wine
132837843,1255351,Red wine
109249444,1145467,Red wine
14590627,1149110,Red wine
156194531,1134410,Red wine
87167611,4854,Red wine
2428816,1153702,Red wine
21042771,1134802,Red wine
16518235,68094,Red wine
15366021,80084,Red wine
1414141,1138888,Red wine
142541738,1193865,Red wine
18571228,6199,Red wine
18923064,68034,Red wine
62914492,1154421,Red wine
141111484,4303173,Red wine
1411648,2239,Red wine
19270603,1138658,Red wine
18697064,1392824,Red wine
104822021,1160854,Red wine
14724003,1178883,Red wine
15118450,1112359,Red wine
2997036,1101213,Red wine
121945367,4242859,Red wine
18350990,1525045,Red wine
14397265,1610629,Red wine
17821869,1171031,Red wine
17172279,1553487,Red wine
22076049,1166209,Red wine
14343539,49424,Red wine
14933989,98402,Red wine
11141623,1179539,Red wine
2862466,1765631,Red wine
23889761,48994,Red wine
4638086,2264626,Red wine
14378304,36034,Red wine
150359107,5900,Red wine
15457271,1159145,Red wine
15766857,1109122,Red wine
150598095,5217652,Red wine
14137290,2009,Red wine
3804953,2130,Red wine
14161189,1170343,Red wine
24587311,1720012,Red wine
19395283,4508,Red wine
156210704,11199,White wine
15066458,1995,Red wine
150537782,1259561,Red wine
19098762,1645929,Red wine
22244646,1143938,Red wine
14596263,1135098,Red wine
14616184,2332306,Red wine
4348598,6569,Red wine
88219428,1115304,Red wine
16450437,1156063,Red wine
14622745,84287,Red wine
14756066,20732,Red wine
17211802,1135109,Red wine
15257901,1135889,Red wine
14638883,1929639,Red wine
4199879,1140866,Red wine
16235171,1196222,Red wine
